Wed Jun  3 06:47:25 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200                    On  |   00000000:4C:00.0 Off |                    0 |
| N/A   37C    P0             81W /  700W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
JAX devices: [CudaDevice(id=0)]
Step 7500: grad_norm=0.0563, loss=0.0091, param_norm=1808.5653
Step 7600: grad_norm=0.0531, loss=0.0085, param_norm=1808.6509
Step 7700: grad_norm=0.0547, loss=0.0084, param_norm=1808.7390
Step 7800: grad_norm=0.0531, loss=0.0086, param_norm=1808.8273
Step 7900: grad_norm=0.0494, loss=0.0083, param_norm=1808.9106
Step 8000: grad_norm=0.0518, loss=0.0089, param_norm=1808.9987
Step 8100: grad_norm=0.0538, loss=0.0084, param_norm=1809.0828
Step 8200: grad_norm=0.0604, loss=0.0085, param_norm=1809.1680
Step 8300: grad_norm=0.0499, loss=0.0083, param_norm=1809.2501
Step 8400: grad_norm=0.0544, loss=0.0084, param_norm=1809.3346
Step 8500: grad_norm=0.0559, loss=0.0085, param_norm=1809.4242
Step 8600: grad_norm=0.0510, loss=0.0084, param_norm=1809.5048
Step 8700: grad_norm=0.0579, loss=0.0085, param_norm=1809.5924
Step 8800: grad_norm=0.0537, loss=0.0083, param_norm=1809.6793
Step 8900: grad_norm=0.0563, loss=0.0084, param_norm=1809.7601
Step 9000: grad_norm=0.0517, loss=0.0084, param_norm=1809.8427
Step 9100: grad_norm=0.0554, loss=0.0083, param_norm=1809.9343
Step 9200: grad_norm=0.0478, loss=0.0078, param_norm=1810.0173
Step 9300: grad_norm=0.0478, loss=0.0082, param_norm=1810.0984
Step 9400: grad_norm=0.0553, loss=0.0081, param_norm=1810.1855
Step 9500: grad_norm=0.0542, loss=0.0081, param_norm=1810.2743
Step 9600: grad_norm=0.0550, loss=0.0084, param_norm=1810.3584
Step 9700: grad_norm=0.0546, loss=0.0079, param_norm=1810.4465
Step 9800: grad_norm=0.0549, loss=0.0084, param_norm=1810.5356
Step 9900: grad_norm=0.0539, loss=0.0081, param_norm=1810.6196
Step 10000: grad_norm=0.0502, loss=0.0080, param_norm=1810.7050
Step 10100: grad_norm=0.0559, loss=0.0081, param_norm=1810.7925
Step 10200: grad_norm=0.0519, loss=0.0079, param_norm=1810.8794
Step 10300: grad_norm=0.0552, loss=0.0080, param_norm=1810.9668
Step 10400: grad_norm=0.0526, loss=0.0087, param_norm=1811.0513
Step 10500: grad_norm=0.0526, loss=0.0079, param_norm=1811.1333
Step 10600: grad_norm=0.0544, loss=0.0080, param_norm=1811.2205
Step 10700: grad_norm=0.0547, loss=0.0079, param_norm=1811.3075
Step 10800: grad_norm=0.0540, loss=0.0077, param_norm=1811.3923
Step 10900: grad_norm=0.0495, loss=0.0076, param_norm=1811.4712
Step 11000: grad_norm=0.0499, loss=0.0078, param_norm=1811.5560
Step 11100: grad_norm=0.0518, loss=0.0079, param_norm=1811.6450
Step 11200: grad_norm=0.0569, loss=0.0082, param_norm=1811.7240
Step 11300: grad_norm=0.0527, loss=0.0073, param_norm=1811.8069
Step 11400: grad_norm=0.0497, loss=0.0074, param_norm=1811.8917
Step 11500: grad_norm=0.0510, loss=0.0078, param_norm=1811.9784
Step 11600: grad_norm=0.0524, loss=0.0075, param_norm=1812.0664
Step 11700: grad_norm=0.0503, loss=0.0080, param_norm=1812.1521
Step 11800: grad_norm=0.0516, loss=0.0081, param_norm=1812.2355
Step 11900: grad_norm=0.0515, loss=0.0077, param_norm=1812.3210
Step 12000: grad_norm=0.0578, loss=0.0077, param_norm=1812.4037
Step 12100: grad_norm=0.0510, loss=0.0078, param_norm=1812.4828
Step 12200: grad_norm=0.0529, loss=0.0078, param_norm=1812.5686
Step 12300: grad_norm=0.0585, loss=0.0075, param_norm=1812.6534
Step 12400: grad_norm=0.0522, loss=0.0075, param_norm=1812.7424
Step 12500: grad_norm=0.0536, loss=0.0077, param_norm=1812.8220
Step 12600: grad_norm=0.0567, loss=0.0076, param_norm=1812.9086
Step 12700: grad_norm=0.0707, loss=0.0078, param_norm=1812.9956
Step 12800: grad_norm=0.0504, loss=0.0073, param_norm=1813.0771
Step 12900: grad_norm=0.0511, loss=0.0074, param_norm=1813.1531
Step 13000: grad_norm=0.0563, loss=0.0070, param_norm=1813.2368
Step 13100: grad_norm=0.0507, loss=0.0075, param_norm=1813.3148
Step 13200: grad_norm=0.0713, loss=0.0079, param_norm=1813.3953
Step 13300: grad_norm=0.0517, loss=0.0074, param_norm=1813.4818
Step 13400: grad_norm=0.0512, loss=0.0075, param_norm=1813.5651
Step 13500: grad_norm=0.0521, loss=0.0072, param_norm=1813.6487
Step 13600: grad_norm=0.0545, loss=0.0076, param_norm=1813.7334
Step 13700: grad_norm=0.0476, loss=0.0072, param_norm=1813.8187
Step 13800: grad_norm=0.0501, loss=0.0073, param_norm=1813.9034
Step 13900: grad_norm=0.0528, loss=0.0074, param_norm=1813.9880
Step 14000: grad_norm=0.0510, loss=0.0075, param_norm=1814.0688
Step 14100: grad_norm=0.0508, loss=0.0077, param_norm=1814.1528
Step 14200: grad_norm=0.0497, loss=0.0073, param_norm=1814.2384
Step 14300: grad_norm=0.0523, loss=0.0076, param_norm=1814.3287
Step 14400: grad_norm=0.0548, loss=0.0072, param_norm=1814.4155
Step 14500: grad_norm=0.0514, loss=0.0072, param_norm=1814.4976
Step 14600: grad_norm=0.0484, loss=0.0073, param_norm=1814.5801
Step 14700: grad_norm=0.0502, loss=0.0073, param_norm=1814.6637
Step 14800: grad_norm=0.0525, loss=0.0074, param_norm=1814.7480
